pop, ms ,plot,line,y1,y2,x1,x2,tag,notes,id,class.2013,ros1.2013,ros2.2013,fruits.2013,flowers.2013,class.2014,ros1.2014,ros2.2014,fruits.2014,flowers.2014,notes.2014,class.2015,ros1.2015,ros2.2015,fruits.2015,flowers.2015,notes.2015,class.2016,ros1.2016,ros2.2016,fruits.2016,flowers.2016,notes.2016, found.yr 
B46,S,1,1,14.45,,-0.26,,,,120,A,1,1,1,1,J,0.5,0.5,,,,A,1,0.5,1,1,,D,,,,,,2013
B46,S,1,1,14.69,,-0.24,,,,121,A,4.5,2.5,,2,J,4,3,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,14.68,,-0.5,,B05,S of plante,122,J,0.5,0.5,,,A,1,1,,1,,J,2,1.5,,,,J,2.5,1.5,,,,2013
B46,S,1,1,14.7,,-0.45,,N,South of plant,123,A,1,1,1,1,D,,,,,,D,,,,,N missing,D,,,,,,2013
B46,S,1,1,14.72,,-0.43,,,E of plant,124,J,0.5,0.5,,,A,1,0.5,1,1,,J,1,0.5,,,,J,1,1,,,,2013
B46,S,1,1,14.73,,-0.43,,N,West of plant,125,A,2,1,1,1,D,,,,,,A,3,2,0,2,,D,,,,,SAME PL,2013
B46,S,1,1,14.75,,-0.4,,N,East of plant,126,A,5,5,2,7,J,5,2,,,,J,2,1.5,,,,J,1,1,,,SAME PL,2013
B46,S,1,1,14.83,,-0.37,,,,127,A,3,3,3,3,A,2,2,,2,,D,,,,,,D,,,,,,2013
B46,S,1,1,14.8,,-0.36,,,,128,J,0.5,0.5,,,J,1,1,,,,J,1,1,,,,D,,,,,,2013
B46,S,1,1,14.8,,-0.47,,,,129,J,0.5,0.5,,,J,0.5,0.5,,,,J,1,1,,,,D,,,,,,2013
B46,S,1,1,14.8,,-0.57,,,,130,A,3,3,2,2,A,1,2,,2,,J,2,1,,,,D,,,,,,2013
B46,S,1,1,14.87,,-0.58,,,,131,A ,3,3,4,4,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,14.95,,-0.58,,N,North of plant,132,A,2.5,2.5,2,5,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,15.6,,-0.19,,,,133,J,2.2,2,,,A,3,3,,4,,J,3.5,2.5,,,,J,4,3,,,,2013
B46,S,1,1,15.33,,-0.6,,,,134,A,3,3,1,2,J,2,2,,,,A,2.5,2,3,3,,A,3,3.5,4,4,,2013
